Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio12_unc contribution,bio1_unc contribution,bio12_unc permutation importance,bio1_unc permutation importance,Training gain without bio12_unc,Training gain without bio1_unc,Training gain with only bio12_unc,Training gain with only bio1_unc,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Logistic threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Logistic threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
sp1_0,64,1.0475,1.0997,260,0.8734,10026,61.8455,38.1545,52.2848,47.7152,0.3734,0.6809,0.6809,0.3734,8.1646,0.1708,1.0000,0.0481,0.4952,0.0000,5.0000,0.1466,0.3576,0.0312,10.0000,0.2423,0.2835,0.0312,3.6323,0.1140,0.3901,0.0000,14.3937,0.3253,0.2445,0.0625,19.8075,0.3944,0.2108,0.2031,12.7822,0.2961,0.2570,0.0469,3.6323,0.1140,0.3901,0.0000,5.3613,0.1540,0.3505,0.0312
sp1_1,64,1.1405,1.2089,360,0.8908,10028,59.6886,40.3114,48.7118,51.2882,0.4311,0.7404,0.7404,0.4311,8.0741,0.1562,1.0000,0.0542,0.4451,0.0000,5.0000,0.1498,0.3256,0.0156,10.0000,0.2525,0.2606,0.0938,3.4331,0.1165,0.3581,0.0000,10.1597,0.2552,0.2591,0.0938,18.8245,0.3765,0.1994,0.2031,7.7713,0.2077,0.2846,0.0156,3.4331,0.1165,0.3581,0.0000,5.3086,0.1552,0.3201,0.0156
sp1_2,64,1.0588,1.1127,300,0.8773,10031,62.2537,37.7463,52.7397,47.2603,0.3759,0.6912,0.6912,0.3759,8.1589,0.1698,1.0000,0.0495,0.4903,0.0000,5.0000,0.1473,0.3544,0.0625,10.0000,0.2436,0.2812,0.0781,3.5082,0.1107,0.3898,0.0000,14.0630,0.3221,0.2452,0.0938,21.0500,0.4054,0.2032,0.2031,12.6973,0.2968,0.2560,0.0781,3.5082,0.1107,0.3898,0.0000,5.3106,0.1543,0.3483,0.0625
sp1_3,64,1.2086,1.2722,300,0.8975,10027,68.2326,31.7674,60.7605,39.2395,0.3398,0.8527,0.8527,0.3398,8.0021,0.1445,1.0000,0.0363,0.4547,0.0000,5.0000,0.1336,0.3006,0.0312,10.0000,0.2518,0.2360,0.0781,1.9545,0.0544,0.3933,0.0000,12.6268,0.2981,0.2154,0.0938,17.3300,0.3687,0.1875,0.1875,7.0646,0.1816,0.2674,0.0312,1.9545,0.0544,0.3933,0.0000,5.1434,0.1368,0.2979,0.0312
sp1_4,64,1.1287,1.1815,280,0.8822,10022,63.9848,36.0152,60.2703,39.7297,0.3721,0.7928,0.7928,0.3721,8.0834,0.1571,1.0000,0.0374,0.4820,0.0000,5.0000,0.1383,0.3236,0.0000,10.0000,0.2576,0.2567,0.0625,5.8281,0.1610,0.3083,0.0000,17.5752,0.3800,0.2047,0.0938,18.4428,0.3879,0.2002,0.1875,8.3473,0.2202,0.2738,0.0156,3.9678,0.1144,0.3466,0.0000,5.0158,0.1391,0.3233,0.0000
sp1_5,64,1.1028,1.1601,360,0.8802,10030,64.2110,35.7890,52.5913,47.4087,0.3778,0.7109,0.7109,0.3778,8.1119,0.1619,1.0000,0.0482,0.4729,0.0000,5.0000,0.1445,0.3424,0.0156,10.0000,0.2376,0.2710,0.0625,3.9959,0.1201,0.3645,0.0000,14.2504,0.3144,0.2341,0.0938,22.2129,0.4089,0.1875,0.1875,9.5825,0.2305,0.2756,0.0312,3.9959,0.1201,0.3645,0.0000,5.5376,0.1558,0.3323,0.0156
sp1_6,64,1.0837,1.1386,360,0.8814,10028,65.7487,34.2513,54.7560,45.2440,0.3533,0.7025,0.7025,0.3533,8.1276,0.1644,1.0000,0.0461,0.4887,0.0000,5.0000,0.1365,0.3507,0.0312,10.0000,0.2312,0.2754,0.0781,2.3495,0.0872,0.4247,0.0000,13.6340,0.2995,0.2415,0.0938,19.6417,0.3803,0.2023,0.2344,18.2747,0.3647,0.2101,0.1094,2.3495,0.0872,0.4247,0.0000,5.6523,0.1515,0.3377,0.0312
sp1_7,64,1.1369,1.1985,300,0.8850,10032,66.5162,33.4838,59.7497,40.2503,0.3138,0.7904,0.7904,0.3138,8.0774,0.1558,1.0000,0.0396,0.4889,0.0000,5.0000,0.1320,0.3262,0.0156,10.0000,0.2477,0.2554,0.0312,2.0580,0.0595,0.4226,0.0000,11.5539,0.2798,0.2415,0.0938,16.0256,0.3497,0.2103,0.2188,9.9468,0.2472,0.2559,0.0156,2.0580,0.0595,0.4226,0.0000,5.2536,0.1397,0.3210,0.0156
sp1_8,64,1.1813,1.2457,360,0.8916,10032,65.2170,34.7830,51.8716,48.1284,0.3814,0.7323,0.7323,0.3814,8.0331,0.1497,1.0000,0.0471,0.4423,0.0156,5.0000,0.1441,0.3227,0.0156,10.0000,0.2298,0.2559,0.0781,0.6434,0.0348,0.4677,0.0000,15.3601,0.3121,0.2110,0.0938,22.8437,0.4046,0.1701,0.1719,15.3601,0.3121,0.2110,0.0938,0.6434,0.0348,0.4677,0.0000,5.9224,0.1621,0.3071,0.0625
sp1_9,64,1.0341,1.0905,300,0.8720,10035,60.8555,39.1445,50.4854,49.5146,0.3797,0.6680,0.6680,0.3797,8.1818,0.1738,1.0000,0.0526,0.4931,0.0000,5.0000,0.1503,0.3601,0.0312,10.0000,0.2499,0.2872,0.0312,4.5409,0.1389,0.3698,0.0000,14.9280,0.3354,0.2452,0.0938,19.6545,0.3964,0.2161,0.2188,10.2888,0.2560,0.2842,0.0312,3.9027,0.1246,0.3848,0.0000,5.1970,0.1543,0.3563,0.0312
sp1 (average),64.0000,1.1123,1.1708,318.0000,0.8831,10029.1000,63.8554,36.1446,54.4221,45.5779,0.3698,0.7362,0.7362,0.3698,8.1015,0.1604,1.0000,0.0459,0.4753,0.0016,5.0000,0.1423,0.3364,0.0250,10.0000,0.2444,0.2663,0.0625,3.1944,0.0997,0.3889,0.0000,13.8545,0.3122,0.2342,0.0907,19.5833,0.3873,0.1987,0.2016,11.2116,0.2613,0.2576,0.0469,2.9445,0.0936,0.3942,0.0000,5.3703,0.1503,0.3295,0.0297
