variable,x,y
bio12_unc,-491.79999999999995,1.889701906065966E-7
bio12_unc,-479.2288,2.7209597419641796E-7
bio12_unc,-466.65759999999995,3.901517970916757E-7
bio12_unc,-454.08639999999997,5.570931875809038E-7
bio12_unc,-441.51519999999994,7.92145158357016E-7
bio12_unc,-428.94399999999996,1.121668105952267E-6
bio12_unc,-416.3727999999999,1.581636297487421E-6
bio12_unc,-403.80159999999995,2.2209130747796735E-6
bio12_unc,-391.2303999999999,3.105554014837253E-6
bio12_unc,-378.65919999999994,4.324433575675357E-6
bio12_unc,-366.08799999999997,5.996555501042167E-6
bio12_unc,-353.51679999999993,8.280508154712152E-6
bio12_unc,-340.9455999999999,1.1386619007680565E-5
bio12_unc,-328.3743999999999,1.5592455383739434E-5
bio12_unc,-315.80319999999995,2.1262598238536157E-5
bio12_unc,-303.23199999999997,2.8873539122287184E-5
bio12_unc,-290.66079999999994,3.904499317286536E-5
bio12_unc,-278.0895999999999,5.257895099930465E-5
bio12_unc,-265.51839999999993,7.050814747344702E-5
bio12_unc,-252.94719999999992,9.415576641913503E-5
bio12_unc,-240.37599999999995,1.252085785381496E-4
bio12_unc,-227.80479999999994,1.6580588999204338E-4
bio12_unc,-215.2335999999999,2.1864677546545863E-4
bio12_unc,-202.66239999999993,2.871191536542028E-4
bio12_unc,-190.0911999999999,3.754527715500444E-4
bio12_unc,-177.51999999999998,4.889002884738147E-4
bio12_unc,-164.94879999999995,6.339488900266588E-4
bio12_unc,-152.37759999999992,8.185662445612252E-4
bio12_unc,-139.80639999999994,0.001052481820806861
bio12_unc,-127.2351999999999,0.001347508397884667
bio12_unc,-114.66399999999993,0.0017179015558212996
bio12_unc,-102.09279999999995,0.0021807581651955843
bio12_unc,-89.52159999999992,0.002756450790911913
bio12_unc,-76.95039999999995,0.003469092072919011
bio12_unc,-64.37919999999991,0.004347022157162428
bio12_unc,-51.807999999999936,0.00542330089956522
bio12_unc,-39.23679999999996,0.006736189126968384
bio12_unc,-26.665599999999927,0.008329597301781178
bio12_unc,-14.094399999999894,0.01025345828384161
bio12_unc,-1.5231999999999175,0.012563995085656643
bio12_unc,11.048000000000059,0.015323832631111145
bio12_unc,23.61920000000009,0.01860189065337181
bio12_unc,36.19040000000007,0.022473009303212166
bio12_unc,48.761600000000044,0.02701723948121071
bio12_unc,61.332800000000134,0.03231872618198395
bio12_unc,73.904,0.038464151322841644
bio12_unc,86.47520000000009,0.04554068669676781
bio12_unc,99.04640000000006,0.05363345891237259
bio12_unc,111.61760000000015,0.06282250583171844
bio12_unc,124.18880000000013,0.07317938655614853
bio12_unc,136.76,0.08476348966360092
bio12_unc,149.33120000000008,0.09761824458837509
bio12_unc,161.90240000000006,0.11176741868257523
bio12_unc,174.47360000000015,0.12721194326877594
bio12_unc,187.04480000000012,0.14392726123332977
bio12_unc,199.6160000000001,0.16186171770095825
bio12_unc,212.18720000000008,0.1809360235929489
bio12_unc,224.75840000000005,0.20104418694972992
bio12_unc,237.32960000000014,0.22205552458763123
bio12_unc,249.90080000000012,0.24381819367408752
bio12_unc,262.4720000000001,0.2661636471748352
bio12_unc,275.04320000000007,0.2889118790626526
bio12_unc,287.61440000000005,0.31187692284584045
bio12_unc,300.18560000000014,0.33487269282341003
bio12_unc,312.7568000000001,0.35771825909614563
bio12_unc,325.3280000000001,0.3802424669265747
bio12_unc,337.89920000000006,0.4022878408432007
bio12_unc,350.47040000000004,0.4237133264541626
bio12_unc,363.04160000000013,0.44439613819122314
bio12_unc,375.6128000000001,0.46423250436782837
bio12_unc,388.1840000000001,0.48313772678375244
bio12_unc,400.75520000000006,0.5010452270507812
bio12_unc,413.32640000000004,0.5179053544998169
bio12_unc,425.8976000000001,0.5336836576461792
bio12_unc,438.4688000000001,0.5483587384223938
bio12_unc,451.0400000000001,0.5619203448295593
bio12_unc,463.61120000000017,0.5743674039840698
bio12_unc,476.18240000000003,0.5857059359550476
bio12_unc,488.7536000000001,0.5959472060203552
bio12_unc,501.3248000000001,0.6051061153411865
bio12_unc,513.8960000000001,0.613199770450592
bio12_unc,526.4672000000002,0.6202462911605835
bio12_unc,539.0384000000001,0.6262636184692383
bio12_unc,551.6096000000002,0.6312686800956726
bio12_unc,564.1808000000001,0.6352766156196594
bio12_unc,576.752,0.638300359249115
bio12_unc,589.3232,0.6403501033782959
bio12_unc,601.8944000000001,0.6414329409599304
bio12_unc,614.4656000000002,0.6415525674819946
bio12_unc,627.0368000000001,0.6407095193862915
bio12_unc,639.608,0.6389008164405823
bio12_unc,652.1792,0.6361201405525208
bio12_unc,664.7504000000001,0.6323580145835876
bio12_unc,677.3216000000002,0.6276023387908936
bio12_unc,689.8928000000001,0.6218382716178894
bio12_unc,702.4639999999999,0.6150493621826172
bio12_unc,715.0352000000003,0.6072177886962891
bio12_unc,727.6064000000001,0.5983254909515381
bio12_unc,740.1776000000002,0.5883549451828003
bio12_unc,752.7488000000001,0.5772905349731445
bio12_unc,765.3199999999999,0.5651199221611023
bio12_unc,777.8912000000003,0.5518357157707214
bio12_unc,790.4624000000001,0.5374370217323303
bio12_unc,803.0336000000002,0.521931529045105
bio12_unc,815.6048000000001,0.5053378343582153
bio12_unc,828.1760000000002,0.48768675327301025
bio12_unc,840.7472000000002,0.4690241813659668
bio12_unc,853.3184000000001,0.44941213726997375
bio12_unc,865.8896000000002,0.42893093824386597
bio12_unc,878.4608000000001,0.40767934918403625
bio12_unc,891.0320000000002,0.38577571511268616
bio12_unc,903.6032000000002,0.36335641145706177
bio12_unc,916.1744000000001,0.34057530760765076
bio12_unc,928.7456000000002,0.3176002502441406
bio12_unc,941.3168000000001,0.2946103811264038
bio12_unc,953.8880000000001,0.2717907130718231
bio12_unc,966.4592000000002,0.2493278831243515
bio12_unc,979.0304000000001,0.22740402817726135
bio12_unc,991.6016000000002,0.20619086921215057
bio12_unc,1004.1728,0.18584506213665009
bio12_unc,1016.7440000000001,0.1665026843547821
bio12_unc,1029.3152000000002,0.14827632904052734
bio12_unc,1041.8864,0.13125194609165192
bio12_unc,1054.4576000000002,0.11548792570829391
bio12_unc,1067.0288,0.10101576149463654
bio12_unc,1079.6000000000001,0.08784051239490509
bio12_unc,1092.1712000000002,0.07594377547502518
bio12_unc,1104.7424,0.06528659909963608
bio12_unc,1117.3136000000002,0.05581341311335564
bio12_unc,1129.8848,0.04745522886514664
bio12_unc,1142.4560000000001,0.04013371095061302
bio12_unc,1155.0272000000002,0.03376484662294388
bio12_unc,1167.5984,0.028261641040444374
bio12_unc,1180.1696000000002,0.023537082597613335
bio12_unc,1192.7408,0.019506191834807396
bio12_unc,1205.3120000000001,0.016087858006358147
bio12_unc,1217.8832000000002,0.013205824419856071
bio12_unc,1230.4544,0.010789649561047554
bio12_unc,1243.0256000000002,0.008775108493864536
bio12_unc,1255.5968,0.007104427553713322
bio12_unc,1268.1680000000001,0.005726107396185398
bio12_unc,1280.7392000000002,0.004594763275235891
bio12_unc,1293.3104,0.0036707893013954163
bio12_unc,1305.8816000000002,0.002919865073636174
bio12_unc,1318.4528,0.0023125233128666878
bio12_unc,1331.0240000000001,0.0018236414762213826
bio12_unc,1343.5952000000002,0.0014319708570837975
bio12_unc,1356.1664000000003,0.0011196364648640156
bio12_unc,1368.7376000000002,8.71715194080025E-4
bio12_unc,1381.3088,6.758202216587961E-4
bio12_unc,1393.88,5.217391299083829E-4
bio12_unc,1406.4512000000002,4.0109182009473443E-4
bio12_unc,1419.0224000000003,3.070465463679284E-4
bio12_unc,1431.5936000000002,2.3406655236613005E-4
bio12_unc,1444.1648,1.7768469115253538E-4
bio12_unc,1456.736,1.3431909610517323E-4
bio12_unc,1469.3072000000002,1.0111197480000556E-4
bio12_unc,1481.8784000000003,7.57962916395627E-5
bio12_unc,1494.4496000000001,5.658136069541797E-5
bio12_unc,1507.0208,4.206099038128741E-5
bio12_unc,1519.592,3.11361945932731E-5
bio12_unc,1532.1632000000002,2.2952730432734825E-5
bio12_unc,1544.7344000000003,1.684942253632471E-5
bio12_unc,1557.3056,1.2317362234171014E-5
bio12_unc,1569.8768000000002,8.96667279448593E-6
bio12_unc,1582.448,6.500227755168453E-6
bio12_unc,1595.0192000000004,4.692543370765634E-6
bio12_unc,1607.5903999999998,3.3734099815774243E-6
bio12_unc,1620.1616000000001,2.414982191112358E-6
bio12_unc,1632.7328000000005,1.7216360674865427E-6
bio12_unc,1645.3039999999999,1.2222257055327646E-6
bio12_unc,1657.8752000000002,8.640575970275677E-7
bio12_unc,1670.4464,6.083004109314061E-7
bio12_unc,1683.0176000000004,4.2645794451345864E-7
bio12_unc,1695.5888000000002,2.9772618859169597E-7
