Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.12727E-13,0.000000001,0,0.862240829,0,0
2.71115E-13,0.000000003,0.000000001,0.853967305,0,0
1.05537E-12,0.00000001,0.000000003,0.840410686,0,0
2.61135E-12,0.000000025,0.000000008,0.831838118,0,0
1.38628E-11,0.000000101,0.000000045,0.820075758,0,0
2.66363E-11,0.000000251,0.000000086,0.812400319,0,0
1.01479E-10,0.000001003,0.000000327,0.799043062,0,0
2.46972E-10,0.000002505,0.000000795,0.789972089,0,0
9.26628E-10,0.000010017,0.000002985,0.775917065,0,0
1.96207E-9,0.000025111,0.00000632,0.765151515,0,0
4.02E-9,0.000050151,0.000012948,0.756379585,0,0
7.26337E-9,0.000100409,0.000023395,0.74710925,0,0
1.71843E-8,0.000251349,0.000055347,0.734250399,0,0
3.11975E-8,0.000501742,0.000100477,0.723684211,0,0
5.47314E-8,0.001003618,0.000176259,0.711822169,0,0
1.25494E-7,0.002502804,0.000404052,0.694477671,0,0
2.44832E-7,0.005008816,0.000787983,0.68062201,0,0
4.46099E-7,0.010012053,0.001434821,0.665470494,0,0
1.00706E-6,0.025028315,0.003233258,0.644039075,0,0
1.84719E-6,0.050088593,0.00591459,0.62599681,0,0
3.33039E-6,0.100238664,0.010613341,0.606758373,0,0
5.20883E-6,0.200112417,0.016500791,0.583632376,0,0
6.0819E-6,0.300410161,0.01921341,0.565889155,0,0
6.97965E-6,0.40011823,0.021987149,0.55073764,0,0
7.78989E-6,0.500078076,0.024477051,0.537181021,0,0
8.88985E-6,0.600278605,0.027837096,0.525219298,0,0
1.02364E-5,0.70097746,0.031919131,0.514752791,0,0
1.07367E-5,0.751442454,0.033426789,0.509968102,0,0
1.12261E-5,0.800953939,0.03489736,0.505482456,0,0
1.20679E-5,0.900944154,0.03741629,0.496909888,0,0
1.28144E-5,1.000386922,0.039638969,0.488935407,0,0
1.34723E-5,1.100458164,0.041589402,0.481359649,0,0
1.41161E-5,1.200121658,0.043490607,0.474182616,0,0
1.46109E-5,1.300686453,0.044946442,0.467204944,0,0
1.53103E-5,1.400905655,0.046996968,0.460526316,0,0
1.58694E-5,1.500887025,0.048629559,0.45414673,0,0
1.75562E-5,1.751096338,0.053521977,0.439194577,0,0
1.93E-5,2.001624319,0.058526991,0.425637959,0,0
2.08375E-5,2.250646896,0.062896107,0.413277512,0.015625,0
2.23603E-5,2.502132884,0.067183867,0.401714514,0.015625,0
2.45395E-5,2.751082332,0.07325185,0.391148325,0.015625,0
2.69411E-5,3.000497618,0.079848187,0.381479266,0.015625,0
2.89936E-5,3.251364427,0.085411962,0.372507974,0.015625,0
3.19237E-5,3.500909271,0.093238823,0.364334131,0.015625,0
3.46166E-5,3.752948814,0.100314819,0.356758373,0.015625,0
3.71759E-5,4.003067817,0.106938229,0.349780702,0.015625,0
3.98024E-5,4.253183726,0.113635123,0.343301435,0.015625,0
4.25724E-5,4.504002603,0.120589685,0.337220893,0.015625,0
4.47743E-5,4.752577459,0.126040744,0.331539075,0.015625,0
4.72237E-5,5.000619025,0.1320255,0.3261563,0.015625,0
5.04002E-5,5.253612828,0.13966585,0.320972887,0.015625,0
5.24198E-5,5.500329719,0.144453803,0.316188198,0.015625,0
5.47666E-5,5.75204257,0.149951189,0.31150319,0.015625,0
5.64939E-5,6.002140006,0.153952467,0.307017544,0.015625,0
5.86956E-5,6.25013989,0.158998488,0.30273126,0.015625,0
6.15699E-5,6.502988203,0.165495947,0.298544657,0.015625,0
6.48401E-5,6.755755003,0.172767505,0.294557416,0.015625,0
6.82662E-5,7.002367518,0.180250886,0.290869219,0.015625,0
7.10188E-5,7.25298874,0.186165683,0.287280702,0.015625,0
7.44684E-5,7.500467235,0.193459007,0.283891547,0.015625,0
7.75328E-5,7.750313375,0.199829071,0.280602073,0.015625,0
8.02274E-5,8.002565933,0.205347848,0.277412281,0.015625,0
8.31017E-5,8.256055785,0.211151479,0.274322169,0.015625,0
8.55088E-5,8.500386841,0.215946798,0.271431419,0.015625,0
