Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio12_unc contribution,bio1_unc contribution,bio12_unc permutation importance,bio1_unc permutation importance,Training gain without bio12_unc,Training gain without bio1_unc,Training gain with only bio12_unc,Training gain with only bio1_unc,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Logistic threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Logistic threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
sp1_0,64,0.9997,1.0516,360,0.8670,10012,61.6321,38.3679,60.9986,39.0014,0.3556,0.6501,0.6501,0.3556,8.2100,0.1789,1.0000,0.0470,0.5239,0.0000,5.0000,0.1428,0.3751,0.0469,10.0000,0.2404,0.2966,0.0938,4.1209,0.1221,0.3963,0.0000,13.8338,0.3171,0.2602,0.0938,23.1228,0.4269,0.2032,0.2031,21.6092,0.4125,0.2107,0.1250,4.1209,0.1221,0.3963,0.0000,5.3739,0.1514,0.3673,0.0469
sp1_1,64,0.9915,1.0578,340,0.8672,10021,60.7571,39.2429,53.5585,46.4415,0.3685,0.5789,0.5789,0.3685,8.2219,0.1817,1.0000,0.0627,0.5027,0.0000,5.0000,0.1604,0.3864,0.0156,10.0000,0.2418,0.3100,0.0312,1.1173,0.0679,0.4965,0.0000,19.9124,0.3740,0.2273,0.0781,24.6725,0.4171,0.2002,0.1875,19.9124,0.3740,0.2273,0.0781,1.1173,0.0679,0.4965,0.0000,5.8078,0.1710,0.3713,0.0312
sp1_2,64,1.2355,1.2961,260,0.8975,10020,59.0245,40.9755,57.4121,42.5879,0.4861,0.8255,0.8255,0.4861,7.9791,0.1419,1.0000,0.0374,0.4355,0.0000,5.0000,0.1464,0.3007,0.0156,10.0000,0.2514,0.2416,0.0781,1.8574,0.0600,0.3863,0.0000,16.4422,0.3376,0.1968,0.0938,19.7138,0.3767,0.1796,0.1719,15.1405,0.3225,0.2045,0.0781,1.8574,0.0600,0.3863,0.0000,5.5836,0.1606,0.2913,0.0156
sp1_3,64,1.1712,1.2455,320,0.8908,10021,70.6636,29.3364,60.6311,39.3689,0.3344,0.8241,0.8241,0.3344,8.0386,0.1502,1.0000,0.0341,0.4599,0.0000,5.0000,0.1480,0.3044,0.0156,10.0000,0.2675,0.2442,0.0625,1.1553,0.0374,0.4470,0.0000,11.2211,0.2910,0.2344,0.0781,18.0208,0.3850,0.1937,0.1875,7.8432,0.2199,0.2650,0.0312,1.1553,0.0374,0.4470,0.0000,4.7408,0.1390,0.3092,0.0156
sp1_4,64,1.1851,1.2529,300,0.8916,10017,63.7483,36.2517,59.8880,40.1120,0.4017,0.7835,0.7835,0.4017,8.0293,0.1491,1.0000,0.0448,0.4458,0.0000,5.0000,0.1396,0.3136,0.0156,10.0000,0.2495,0.2484,0.0469,2.9222,0.0910,0.3631,0.0000,12.6627,0.2957,0.2267,0.0938,21.6333,0.4032,0.1755,0.1719,12.6353,0.2955,0.2269,0.0469,2.9222,0.0910,0.3631,0.0000,5.4010,0.1468,0.3063,0.0156
sp1_5,64,1.1103,1.1801,360,0.8852,10022,67.9711,32.0289,59.5179,40.4821,0.3383,0.6938,0.6938,0.3383,8.1021,0.1605,1.0000,0.0519,0.4730,0.0000,5.0000,0.1374,0.3484,0.0000,10.0000,0.2285,0.2729,0.0469,5.4003,0.1431,0.3405,0.0000,15.0899,0.3020,0.2270,0.0938,21.0074,0.3880,0.1901,0.1875,10.9506,0.2457,0.2628,0.0469,3.3725,0.1163,0.3857,0.0000,5.9828,0.1535,0.3294,0.0312
sp1_6,64,1.2461,1.3201,320,0.8996,10017,67.3087,32.6913,63.0987,36.9013,0.3794,0.8895,0.8895,0.3794,7.9672,0.1399,1.0000,0.0320,0.4199,0.0000,5.0000,0.1494,0.2822,0.0156,10.0000,0.2687,0.2283,0.0625,2.3304,0.0732,0.3470,0.0000,12.3077,0.3077,0.2119,0.0938,15.6253,0.3534,0.1926,0.1875,9.1704,0.2530,0.2351,0.0312,2.3304,0.0732,0.3470,0.0000,4.6695,0.1384,0.2879,0.0156
sp1_7,64,1.2267,1.3046,300,0.8999,10012,67.6293,32.3707,58.9952,41.0048,0.3771,0.8408,0.8408,0.3771,7.9889,0.1431,1.0000,0.0411,0.4312,0.0000,5.0000,0.1440,0.2947,0.0312,10.0000,0.2593,0.2350,0.0469,1.4437,0.0489,0.4035,0.0000,11.8787,0.2907,0.2204,0.0781,20.7121,0.4061,0.1719,0.1719,10.4491,0.2679,0.2314,0.0469,1.4437,0.0489,0.4035,0.0000,5.0252,0.1443,0.2943,0.0312
sp1_8,64,0.9613,1.0157,320,0.8623,10014,63.8897,36.1103,58.8259,41.1741,0.3209,0.5882,0.5882,0.3209,8.2510,0.1869,1.0000,0.0588,0.5309,0.0000,5.0000,0.1507,0.4010,0.0312,10.0000,0.2355,0.3176,0.1094,2.6064,0.1047,0.4619,0.0000,9.6282,0.2295,0.3222,0.0625,24.6893,0.4266,0.2031,0.2031,17.9720,0.3503,0.2436,0.1250,2.6064,0.1047,0.4619,0.0000,5.8911,0.1611,0.3826,0.0312
sp1_9,64,1.1666,1.2417,360,0.8894,10022,62.1620,37.8380,56.9045,43.0955,0.4042,0.7816,0.7816,0.4042,8.0473,0.1519,1.0000,0.0474,0.4419,0.0000,5.0000,0.1461,0.3122,0.0156,10.0000,0.2628,0.2507,0.0312,2.6907,0.0895,0.3668,0.0000,17.3937,0.3638,0.2008,0.0938,21.3321,0.4070,0.1812,0.1719,10.7376,0.2785,0.2445,0.0312,2.6907,0.0895,0.3668,0.0000,5.0266,0.1469,0.3118,0.0156
sp1 (average),64.0000,1.1294,1.1966,324.0000,0.8851,10017.8000,64.4786,35.5214,58.9831,41.0170,0.3766,0.7456,0.7456,0.3766,8.0835,0.1584,1.0000,0.0457,0.4665,0.0000,5.0000,0.1465,0.3319,0.0203,10.0000,0.2505,0.2645,0.0609,2.5645,0.0838,0.4009,0.0000,14.0370,0.3109,0.2328,0.0860,21.0529,0.3990,0.1891,0.1844,13.6420,0.3020,0.2352,0.0640,2.3617,0.0811,0.4054,0.0000,5.3502,0.1513,0.3251,0.0250
