variable,x,y
bio1_unc,-157.9,5.539456287233825E-35
bio1_unc,-156.91840000000002,5.539456287233825E-35
bio1_unc,-155.9368,5.539456287233825E-35
bio1_unc,-154.95520000000002,5.539456287233825E-35
bio1_unc,-153.9736,5.539456287233825E-35
bio1_unc,-152.99200000000002,5.539456287233825E-35
bio1_unc,-152.0104,5.539456287233825E-35
bio1_unc,-151.02880000000002,5.539456287233825E-35
bio1_unc,-150.0472,5.539456287233825E-35
bio1_unc,-149.06560000000002,5.539456287233825E-35
bio1_unc,-148.084,5.539456287233825E-35
bio1_unc,-147.10240000000002,5.539456287233825E-35
bio1_unc,-146.1208,5.539456287233825E-35
bio1_unc,-145.13920000000002,5.539456287233825E-35
bio1_unc,-144.1576,5.539456287233825E-35
bio1_unc,-143.17600000000002,5.539456287233825E-35
bio1_unc,-142.1944,5.539456287233825E-35
bio1_unc,-141.21280000000002,5.539456287233825E-35
bio1_unc,-140.2312,5.539456287233825E-35
bio1_unc,-139.24960000000002,5.539456287233825E-35
bio1_unc,-138.268,5.539456287233825E-35
bio1_unc,-137.28640000000001,5.539456287233825E-35
bio1_unc,-136.3048,5.539456287233825E-35
bio1_unc,-135.3232,5.539456287233825E-35
bio1_unc,-134.3416,5.539456287233825E-35
bio1_unc,-133.36,5.539456287233825E-35
bio1_unc,-132.3784,5.539456287233825E-35
bio1_unc,-131.3968,5.539456287233825E-35
bio1_unc,-130.4152,5.539456287233825E-35
bio1_unc,-129.4336,5.539456287233825E-35
bio1_unc,-128.452,5.539456287233825E-35
bio1_unc,-127.47040000000001,5.539456287233825E-35
bio1_unc,-126.48880000000001,5.539456287233825E-35
bio1_unc,-125.50720000000001,5.539456287233825E-35
bio1_unc,-124.52560000000001,5.539456287233825E-35
bio1_unc,-123.54400000000001,5.539456287233825E-35
bio1_unc,-122.5624,5.539456287233825E-35
bio1_unc,-121.58080000000001,5.539456287233825E-35
bio1_unc,-120.59920000000001,5.539456287233825E-35
bio1_unc,-119.61760000000001,5.539456287233825E-35
bio1_unc,-118.636,5.539456287233825E-35
bio1_unc,-117.65440000000001,5.539456287233825E-35
bio1_unc,-116.67280000000001,6.354321828193297E-35
bio1_unc,-115.69120000000001,9.584359899062164E-35
bio1_unc,-114.70960000000001,1.4440782795958718E-34
bio1_unc,-113.72800000000001,2.173468850861255E-34
bio1_unc,-112.74640000000001,3.2677466439462997E-34
bio1_unc,-111.76480000000001,4.90768891468305E-34
bio1_unc,-110.78320000000001,7.362738712911649E-34
bio1_unc,-109.80160000000001,1.1034097311520032E-33
bio1_unc,-108.82000000000002,1.6518344164762336E-33
bio1_unc,-107.83840000000001,2.4701876859087936E-33
bio1_unc,-106.8568,3.69001709186929E-33
bio1_unc,-105.8752,5.506291413082053E-33
bio1_unc,-104.89360000000002,8.207740898454831E-33
bio1_unc,-103.912,1.2221423747667315E-32
bio1_unc,-102.93040000000002,1.8178372144205786E-32
bio1_unc,-101.9488,2.7009748060602365E-32
bio1_unc,-100.96720000000002,4.00884951031549E-32
bio1_unc,-99.9856,5.94364209436075E-32
bio1_unc,-99.00400000000002,8.802794652877099E-32
bio1_unc,-98.0224,1.3023293684299668E-31
bio1_unc,-97.04080000000002,1.92466346677366E-31
bio1_unc,-96.0592,2.8413438191013906E-31
bio1_unc,-95.07760000000002,4.190106977630364E-31
bio1_unc,-94.096,6.172486511732788E-31
bio1_unc,-93.11440000000002,9.082990305865937E-31
bio1_unc,-92.1328,1.335157610754364E-30
bio1_unc,-91.15120000000002,1.960508098131928E-30
bio1_unc,-90.16960000000002,2.8756658091171517E-30
bio1_unc,-89.188,4.21348897086144E-30
bio1_unc,-88.20640000000002,6.1670898641879366E-30
bio1_unc,-87.2248,9.016772922332705E-30
bio1_unc,-86.24320000000002,1.3169086157911815E-29
bio1_unc,-85.26160000000002,1.9212997379670305E-29
bio1_unc,-84.28,2.800057786777347E-29
bio1_unc,-83.29840000000002,4.076360426640277E-29
bio1_unc,-82.31680000000001,5.928049683716584E-29
bio1_unc,-81.33520000000001,8.611643477491297E-29
bio1_unc,-80.35360000000001,1.249662394463126E-28
bio1_unc,-79.372,1.8114778259527571E-28
bio1_unc,-78.39040000000001,2.6230527878260074E-28
bio1_unc,-77.40880000000001,3.794162879500519E-28
bio1_unc,-76.42720000000001,5.482231327588695E-28
bio1_unc,-75.44560000000001,7.912840621287912E-28
bio1_unc,-74.46400000000003,1.140886424908994E-27
bio1_unc,-73.48240000000001,1.643178969240896E-27
bio1_unc,-72.50080000000001,2.3640734215384933E-27
bio1_unc,-71.51920000000001,3.397588481675921E-27
bio1_unc,-70.53760000000001,4.8777049329083774E-27
bio1_unc,-69.55600000000003,6.995080017487482E-27
bio1_unc,-68.57440000000001,1.0020826893684626E-26
bio1_unc,-67.59280000000001,1.4340005979744883E-26
bio1_unc,-66.61120000000001,2.049876016334594E-26
bio1_unc,-65.62960000000001,2.927113378546065E-26
bio1_unc,-64.64800000000002,4.175275603582785E-26
bio1_unc,-63.66640000000001,5.949288810254338E-26
bio1_unc,-62.68480000000001,8.46795712917058E-26
bio1_unc,-61.703200000000024,1.2039967379222733E-25
bio1_unc,-60.72160000000001,1.7100400385245892E-25
bio1_unc,-59.74000000000002,2.4261648867963127E-25
bio1_unc,-58.75840000000001,3.4384970209576944E-25
bio1_unc,-57.77680000000001,4.8680009885129065E-25
bio1_unc,-56.79520000000002,6.884395036320559E-25
bio1_unc,-55.81360000000001,9.72557224978266E-25
bio1_unc,-54.83200000000002,1.3724535961934351E-24
bio1_unc,-53.85040000000001,1.9347034581598776E-24
bio1_unc,-52.86880000000001,2.7243585490972207E-24
bio1_unc,-51.88720000000002,3.832201869446817E-24
bio1_unc,-50.90560000000001,5.384751128403238E-24
bio1_unc,-49.92400000000002,7.558178095979288E-24
bio1_unc,-48.94240000000002,1.0597458004265015E-23
bio1_unc,-47.96080000000002,1.484296224575794E-23
bio1_unc,-46.97920000000002,2.0766970011500304E-23
bio1_unc,-45.997600000000006,2.902410174647166E-23
bio1_unc,-45.01600000000002,4.052086591585406E-23
bio1_unc,-44.03440000000002,5.65108398064124E-23
bio1_unc,-43.05280000000002,7.872615370673305E-23
bio1_unc,-42.07120000000002,1.0955682581225135E-22
bio1_unc,-41.08960000000002,1.5229796598939891E-22
bio1_unc,-40.10800000000002,2.1148612397748453E-22
bio1_unc,-39.12640000000002,2.933620225739223E-22
bio1_unc,-38.14480000000002,4.0649911569262457E-22
bio1_unc,-37.16320000000002,5.6266310596278165E-22
bio1_unc,-36.18160000000002,7.779855299421156E-22
bio1_unc,-35.20000000000002,1.074552751171936E-21
bio1_unc,-34.21840000000002,1.4825801870496741E-21
bio1_unc,-33.23680000000002,2.0433453315398175E-21
bio1_unc,-32.255200000000016,2.8131934015240056E-21
bio1_unc,-31.273600000000016,3.868929712270082E-21
bio1_unc,-30.292000000000016,5.315152827432832E-21
bio1_unc,-29.310400000000016,7.29414407277152E-21
bio1_unc,-28.32880000000003,9.999232278766626E-21
bio1_unc,-27.347200000000015,1.369281181807897E-20
bio1_unc,-26.3656,1.8730626091862474E-20
bio1_unc,-25.384000000000015,2.5594439952269652E-20
bio1_unc,-24.40240000000003,3.493597963352566E-20
bio1_unc,-23.420800000000014,4.763581928737154E-20
bio1_unc,-22.439200000000028,6.488256737084485E-20
bio1_unc,-21.457600000000014,8.827873768675075E-20
bio1_unc,-20.476,1.1998249615202838E-19
bio1_unc,-19.49440000000004,1.6289710454507109E-19
bio1_unc,-18.512800000000027,2.209238115909689E-19
bio1_unc,-17.531200000000013,2.9929904538339757E-19
bio1_unc,-16.549599999999998,4.050436693924628E-19
bio1_unc,-15.568000000000012,5.475605816831788E-19
bio1_unc,-14.586400000000026,7.394283300897272E-19
bio1_unc,-13.604800000000012,9.974557416470684E-19
bio1_unc,-12.623200000000026,1.3440793666876674E-18
bio1_unc,-11.641600000000011,1.8092141920645043E-18
bio1_unc,-10.659999999999997,2.43270033800543E-18
bio1_unc,-9.678400000000039,3.2675400226452394E-18
bio1_unc,-8.696800000000025,4.384165193600985E-18
bio1_unc,-7.71520000000001,5.876066078450094E-18
bio1_unc,-6.733600000000024,7.867197346344864E-18
bio1_unc,-5.7520000000000095,1.0521730774229612E-17
bio1_unc,-4.7704000000000235,1.405684759501381E-17
bio1_unc,-3.788800000000009,1.8759548048390084E-17
bio1_unc,-2.807200000000023,2.5008665965656694E-17
bio1_unc,-1.8256000000000085,3.3303687742258884E-17
bio1_unc,-0.8439999999999941,4.4302460193192727E-17
bio1_unc,0.13759999999996353,5.887041110817448E-17
bio1_unc,1.119199999999978,7.814477155439919E-17
bio1_unc,2.1007999999999925,1.0361830806122701E-16
bio1_unc,3.0823999999999785,1.372482292196319E-16
bio1_unc,4.0639999999999645,1.815978552513524E-16
bio1_unc,5.045599999999979,2.400204969503397E-16
bio1_unc,6.027199999999965,3.1689810721564644E-16
bio1_unc,7.0087999999999795,4.1795030249338694E-16
bio1_unc,7.990399999999994,5.506343608511881E-16
bio1_unc,8.971999999999952,7.246623620622676E-16
bio1_unc,9.953599999999966,9.526683319305155E-16
bio1_unc,10.93519999999998,1.2510694630396145E-15
bio1_unc,11.916799999999995,1.6411748279414372E-15
bio1_unc,12.898399999999981,2.150611782639222E-15
bio1_unc,13.879999999999967,2.8151582576711612E-15
bio1_unc,14.861599999999981,3.681097192066414E-15
bio1_unc,15.843199999999968,4.80823207651645E-15
bio1_unc,16.824799999999982,6.273751964713369E-15
bio1_unc,17.806399999999996,8.177167134333554E-15
bio1_unc,18.787999999999954,1.0646627317549475E-14
bio1_unc,19.76959999999997,1.3846976137325134E-14
bio1_unc,20.751199999999983,1.799001418212147E-14
bio1_unc,21.73279999999997,2.3347575500536066E-14
bio1_unc,22.714399999999983,3.026813961146471E-14
bio1_unc,23.69599999999997,3.919795057657528E-14
bio1_unc,24.677599999999984,5.0707813734627086E-14
bio1_unc,25.65919999999997,6.552693636177956E-14
bio1_unc,26.640799999999984,8.458601793168499E-14
bio1_unc,27.6224,1.0907140940213597E-13
bio1_unc,28.603999999999957,1.4049374998884728E-13
bio1_unc,29.58559999999997,1.8077431370409902E-13
bio1_unc,30.567199999999985,2.3235401233265285E-13
bio1_unc,31.54879999999997,2.983302352984468E-13
bio1_unc,32.530399999999986,3.826291768236484E-13
bio1_unc,33.51199999999997,4.902219580792122E-13
bio1_unc,34.49359999999996,6.273945122106661E-13
bio1_unc,35.47519999999997,8.020894603881501E-13
bio1_unc,36.45679999999999,1.0243258064673855E-12
bio1_unc,37.4384,1.3067351020690232E-12
bio1_unc,38.41999999999996,1.6652148410178924E-12
bio1_unc,39.40159999999997,2.1197618313428812E-12
bio1_unc,40.38319999999999,2.6954890142844024E-12
bio1_unc,41.364799999999974,3.4239020039322776E-12
bio1_unc,42.34639999999999,4.344493948621464E-12
bio1_unc,43.327999999999975,5.506686252820803E-12
bio1_unc,44.30959999999996,6.972291667628472E-12
bio1_unc,45.291199999999975,8.818486739448073E-12
bio1_unc,46.27279999999999,1.1141577244133671E-11
bio1_unc,47.254399999999976,1.4061528851028182E-11
bio1_unc,48.23599999999996,1.772770472086016E-11
bio1_unc,49.217599999999976,2.232575582739038E-11
bio1_unc,50.19919999999999,2.8086208705979665E-11
bio1_unc,51.18079999999998,3.529507588972969E-11
bio1_unc,52.16239999999999,4.43066035249462E-11
bio1_unc,53.14399999999998,5.5559310624397895E-11
bio1_unc,54.12559999999996,6.959507969916956E-11
bio1_unc,55.10719999999998,8.708318094408085E-11
bio1_unc,56.08879999999999,1.0884872864158623E-10
bio1_unc,57.07039999999998,1.3590846503763743E-10
bio1_unc,58.051999999999964,1.6951297310274782E-10
bio1_unc,59.03359999999998,2.1119976600925128E-10
bio1_unc,60.015199999999965,2.6285582044316413E-10
bio1_unc,60.99679999999998,3.26794785676654E-10
bio1_unc,61.978399999999965,4.0585101945822544E-10
bio1_unc,62.95999999999995,5.034908046042119E-10
bio1_unc,63.941599999999966,6.239509464656123E-10
bio1_unc,64.92319999999998,7.724014206011987E-10
bio1_unc,65.9048,9.551442969879531E-10
bio1_unc,66.88639999999995,1.1798548804620168E-9
bio1_unc,67.86799999999997,1.455867648658682E-9
bio1_unc,68.84959999999998,1.7945254171536362E-9
bio1_unc,69.83119999999997,2.209582738998961E-9
bio1_unc,70.81279999999998,2.717719604916624E-9
bio1_unc,71.79439999999997,3.3391305276353478E-9
bio1_unc,72.77599999999995,4.098218653325603E-9
bio1_unc,73.75759999999997,5.024473281878272E-9
bio1_unc,74.73919999999998,6.153463960600902E-9
bio1_unc,75.72079999999997,7.528060841366369E-9
bio1_unc,76.70239999999995,9.199826678241152E-9
bio1_unc,77.68399999999997,1.1230777197113184E-8
bio1_unc,78.66559999999998,1.369538704665274E-8
bio1_unc,79.64719999999997,1.6682912828969165E-8
bio1_unc,80.62879999999998,2.030033030564482E-8
bio1_unc,81.61039999999997,2.4675616216995877E-8
bio1_unc,82.59199999999996,2.996175751945884E-8
bio1_unc,83.57359999999997,3.634122336393375E-8
bio1_unc,84.55519999999999,4.403170805744594E-8
bio1_unc,85.53679999999997,5.3292389168291265E-8
bio1_unc,86.51839999999996,6.443163869107593E-8
bio1_unc,87.49999999999997,7.781551403240883E-8
bio1_unc,88.48159999999996,9.387866839460912E-8
bio1_unc,89.46319999999997,1.1313629499909439E-7
bio1_unc,90.44479999999999,1.3619778371776192E-7
bio1_unc,91.42639999999997,1.637841222645875E-7
bio1_unc,92.40799999999996,1.9674661189128528E-7
bio1_unc,93.38959999999997,2.3608967580912577E-7
bio1_unc,94.37119999999999,2.829956997629779E-7
bio1_unc,95.35279999999997,3.388568927675806E-7
bio1_unc,96.33439999999996,4.0530926526116673E-7
bio1_unc,97.31599999999997,4.842738121624279E-7
bio1_unc,98.29759999999996,5.780009360023541E-7
bio1_unc,99.27919999999997,6.891277735121548E-7
bio1_unc,100.26079999999999,8.207393307202437E-7
bio1_unc,101.24239999999995,9.764361266206834E-7
bio1_unc,102.22399999999996,1.1604223573158379E-6
bio1_unc,103.20559999999998,1.3775963907391997E-6
bio1_unc,104.18719999999999,1.6336618955392623E-6
bio1_unc,105.1688,1.9352428353158757E-6
bio1_unc,106.15039999999996,2.290036263730144E-6
bio1_unc,107.13199999999998,2.706970462895697E-6
bio1_unc,108.11359999999999,3.1963752462615957E-6
bio1_unc,109.09519999999995,3.7702109239035053E-6
bio1_unc,110.07679999999996,4.4422927203413565E-6
bio1_unc,111.05839999999998,5.22856998941279E-6
bio1_unc,112.03999999999999,6.147403382783523E-6
bio1_unc,113.02159999999995,7.2199491114588454E-6
bio1_unc,114.00319999999996,8.470521606795955E-6
bio1_unc,114.98479999999998,9.927052815328352E-6
bio1_unc,115.96639999999994,1.1621536032180302E-5
bio1_unc,116.94800000000001,1.359065299766371E-5
