Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.84096E-13,0.000000001,0.000000001,0.816186009,0,0
4.83561E-13,0.000000003,0.000000001,0.811495859,0,0
1.9334E-12,0.00000001,0.000000006,0.804211157,0,0
4.91809E-12,0.000000025,0.000000015,0.799620796,0,0
1.98273E-11,0.000000101,0.000000061,0.792535675,0,0
4.86789E-11,0.000000252,0.000000151,0.787745734,0,0
1.59237E-10,0.000001013,0.000000493,0.779363337,0,0
3.42538E-10,0.000002514,0.000001061,0.773076539,0,0
1.23358E-9,0.000010004,0.000003822,0.762199381,0,0
2.54622E-9,0.000025046,0.000007889,0.754116356,0,0
4.64523E-9,0.000050458,0.000014392,0.746931444,0,0
8.31022E-9,0.000100468,0.000025747,0.73914779,0,0
1.79931E-8,0.000251636,0.000055745,0.727172937,0,0
3.15835E-8,0.000500488,0.000097846,0.717094102,0,0
5.74769E-8,0.001004658,0.000178049,0.70521904,0,0
1.28815E-7,0.002500711,0.000398949,0.688554037,0,0
2.37385E-7,0.005017671,0.000734951,0.674683165,0,0
4.33902E-7,0.010020816,0.001342554,0.659415228,0,0
1.00959E-6,0.025118785,0.003118263,0.636762798,0,0
1.72964E-6,0.050067185,0.005330371,0.618201776,0,0
2.82852E-6,0.100449923,0.00868748,0.596247879,0,0
4.04691E-6,0.200397382,0.012383291,0.567109071,0,0
4.99295E-6,0.300109911,0.015234008,0.545354755,0,0
6.18906E-6,0.400100858,0.018814799,0.527392476,0,0
7.53264E-6,0.500412298,0.02280615,0.512823072,0,0
8.35166E-6,0.600622265,0.025223307,0.500249476,0,0
9.22368E-6,0.700895475,0.027783769,0.488873366,0,0
9.74246E-6,0.750163213,0.02930065,0.483684263,0,0
1.00774E-5,0.801763893,0.030277498,0.47849516,0,0
1.07225E-5,0.900396822,0.032153299,0.469015068,0,0
1.14034E-5,1.000657911,0.034125536,0.459934138,0,0
1.21974E-5,1.100934524,0.036415209,0.451451951,0,0
1.28583E-5,1.200937397,0.038312514,0.443468716,0.015625,0
1.37084E-5,1.301357641,0.040742395,0.435884642,0.015625,0
1.43371E-5,1.400906008,0.042531481,0.428799521,0.015625,0
1.50263E-5,1.50102839,0.044485073,0.422013771,0.015625,0
1.70945E-5,1.751368895,0.050299897,0.406346672,0.015625,0
1.91447E-5,2.002992727,0.055994613,0.392475801,0.015625,0
2.20365E-5,2.25047835,0.063912072,0.380401158,0.015625,0
2.47738E-5,2.500839313,0.071285108,0.36972358,0.015625,0
2.80624E-5,2.752573385,0.079990866,0.360243489,0.015625,0
3.14047E-5,3.001812573,0.088673175,0.351861092,0.015625,0
3.40578E-5,3.251870241,0.095449317,0.344277018,0.015625,0
3.67791E-5,3.50089022,0.102295781,0.337291687,0.015625,0
4.00594E-5,3.751581071,0.110412318,0.330805309,0.015625,0
4.30663E-5,4.000260276,0.117724343,0.324817882,0.015625,0
4.59865E-5,4.253988819,0.124711152,0.319129827,0.015625,0
4.87654E-5,4.504349799,0.131258147,0.313840934,0.015625,0
5.23237E-5,4.751203568,0.139499625,0.308951202,0.015625,0
5.6055E-5,5.000575555,0.147975733,0.304360842,0.015625,0
5.94179E-5,5.253723916,0.155473032,0.299970063,0.015625,0
6.35213E-5,5.50563423,0.164444288,0.295878655,0.015625,0
6.61974E-5,5.751869986,0.170193016,0.292086618,0.03125,0
6.85119E-5,6.001538792,0.175101643,0.288394372,0.03125,0
7.14281E-5,6.260611725,0.181204377,0.284702126,0.03125,0
7.43732E-5,6.507800941,0.187276401,0.281309251,0.03125,0
7.71701E-5,6.750253995,0.192960178,0.278115956,0.03125,0
8.03861E-5,7.003726583,0.199398312,0.274922662,0.03125,0
8.38077E-5,7.257768509,0.206136097,0.271829159,0.03125,0
8.66079E-5,7.505199253,0.211566414,0.268935236,0.03125,0
9.00036E-5,7.752563151,0.218052544,0.266141104,0.03125,0
9.25647E-5,8.008499565,0.222874487,0.263346971,0.0625,0
9.56607E-5,8.25297347,0.228624722,0.26075242,0.0625,0
9.85354E-5,8.505428949,0.23388821,0.258157868,0.0625,0
1.01243E-4,8.765086203,0.238780964,0.255563317,0.0625,0
1.03416E-4,9.00001141,0.24266107,0.253268137,0.0625,0
1.06915E-4,9.25383641,0.248829416,0.250873166,0.0625,0
1.09693E-4,9.502908694,0.253654109,0.248577986,0.0625,0
1.14013E-4,9.761031654,0.261036142,0.246282806,0.0625,0
1.17848E-4,10.004913856,0.267468768,0.244187207,0.0625,0
1.20935E-4,10.255344643,0.272565197,0.242091608,0.0625,0
1.24674E-4,10.500798203,0.278644236,0.240095799,0.0625,0
1.27185E-4,10.752995983,0.282669763,0.23809999,0.0625,0
1.30387E-4,11.010773683,0.287738649,0.236104181,0.0625,0
1.32537E-4,11.260849877,0.291102352,0.234208163,0.109375,0
1.36251E-4,11.502329561,0.296837881,0.232411935,0.109375,0
1.38966E-4,11.764217732,0.300971967,0.230515917,0.109375,0
1.42686E-4,12.017748588,0.306559541,0.228719689,0.109375,0
1.44736E-4,12.26225535,0.30960054,0.227023251,0.109375,0
1.4706E-4,12.510034128,0.313014726,0.225326814,0.109375,0
1.4936E-4,12.762236081,0.316361765,0.223630376,0.109375,0
1.51697E-4,13.003578958,0.319730089,0.222033729,0.109375,0
1.54951E-4,13.264474022,0.324362653,0.220337292,0.109375,0
1.57298E-4,13.514650978,0.327667095,0.218740645,0.109375,0
1.60137E-4,13.752379407,0.331619668,0.217243788,0.109375,0
1.63273E-4,14.011601831,0.335931816,0.215647141,0.109375,0
