variable,x,y
bio1_unc,-143.6,0.0
bio1_unc,-142.6496,0.0
bio1_unc,-141.6992,0.0
bio1_unc,-140.7488,0.0
bio1_unc,-139.7984,0.0
bio1_unc,-138.84799999999998,0.0
bio1_unc,-137.89759999999998,0.0
bio1_unc,-136.94719999999998,0.0
bio1_unc,-135.9968,0.0
bio1_unc,-135.0464,0.0
bio1_unc,-134.096,0.0
bio1_unc,-133.1456,0.0
bio1_unc,-132.1952,0.0
bio1_unc,-131.2448,0.0
bio1_unc,-130.2944,0.0
bio1_unc,-129.344,0.0
bio1_unc,-128.3936,0.0
bio1_unc,-127.44319999999999,0.0
bio1_unc,-126.49279999999999,0.0
bio1_unc,-125.54239999999999,0.0
bio1_unc,-124.592,0.0
bio1_unc,-123.6416,0.0
bio1_unc,-122.6912,0.0
bio1_unc,-121.7408,0.0
bio1_unc,-120.79039999999999,0.0
bio1_unc,-119.83999999999999,0.0
bio1_unc,-118.8896,0.0
bio1_unc,-117.9392,0.0
bio1_unc,-116.9888,0.0
bio1_unc,-116.0384,0.0
bio1_unc,-115.088,0.0
bio1_unc,-114.13759999999999,0.0
bio1_unc,-113.18719999999999,0.0
bio1_unc,-112.23679999999999,0.0
bio1_unc,-111.28639999999999,0.0
bio1_unc,-110.33599999999998,0.0
bio1_unc,-109.38559999999998,0.0
bio1_unc,-108.4352,0.0
bio1_unc,-107.48479999999999,0.0
bio1_unc,-106.53439999999999,0.0
bio1_unc,-105.584,0.0
bio1_unc,-104.6336,0.0
bio1_unc,-103.6832,8.618921548686487E-11
bio1_unc,-102.7328,9.417628482610851E-11
bio1_unc,-101.7824,1.028883436782202E-10
bio1_unc,-100.832,1.1238967395632571E-10
bio1_unc,-99.88159999999999,1.2275022664987034E-10
bio1_unc,-98.93119999999999,1.3404598264710188E-10
bio1_unc,-97.98079999999999,1.4635950784658291E-10
bio1_unc,-97.03039999999999,1.5978036949082508E-10
bio1_unc,-96.07999999999998,1.7440617006148074E-10
bio1_unc,-95.1296,1.9034257503491858E-10
bio1_unc,-94.1792,2.0770436759409705E-10
bio1_unc,-93.22879999999999,2.2661621190689374E-10
bio1_unc,-92.27839999999999,2.472133608932836E-10
bio1_unc,-91.32799999999999,2.69642447259244E-10
bio1_unc,-90.37759999999999,2.940631071979283E-10
bio1_unc,-89.4272,3.2064792487851435E-10
bio1_unc,-88.4768,3.495843337031346E-10
bio1_unc,-87.5264,3.810755877520222E-10
bio1_unc,-86.576,4.1534206629556536E-10
bio1_unc,-85.62559999999999,4.526224395284828E-10
bio1_unc,-84.67519999999999,4.931762775939319E-10
bio1_unc,-83.72479999999999,5.372839950723574E-10
bio1_unc,-82.77439999999999,5.852497930725065E-10
bio1_unc,-81.82399999999998,6.374032412992392E-10
bio1_unc,-80.87359999999998,6.941013319661238E-10
bio1_unc,-79.9232,7.557303671745785E-10
bio1_unc,-78.97279999999999,8.227100112279118E-10
bio1_unc,-78.02239999999999,8.954932906313218E-10
bio1_unc,-77.07199999999999,9.745710904951466E-10
bio1_unc,-76.12159999999999,1.060474819070123E-9
bio1_unc,-75.17119999999998,1.1537787392157384E-9
bio1_unc,-74.22079999999998,1.2551065742272272E-9
bio1_unc,-73.2704,1.3651311192575122E-9
bio1_unc,-72.32,1.4845804585661426E-9
bio1_unc,-71.36959999999999,1.6142424064113925E-9
bio1_unc,-70.41919999999999,1.7549688369200567E-9
bio1_unc,-69.46879999999999,1.907679569868037E-9
bio1_unc,-68.51839999999999,2.0733725847321693E-9
bio1_unc,-67.568,2.2531230214895004E-9
bio1_unc,-66.61759999999998,2.4480941718252325E-9
bio1_unc,-65.6672,2.6595428082032413E-9
bio1_unc,-64.71679999999998,2.8888265113380385E-9
bio1_unc,-63.76639999999999,3.137411219711339E-9
bio1_unc,-62.815999999999974,3.406881665668493E-9
bio1_unc,-61.865599999999986,3.6989500351580773E-9
bio1_unc,-60.915199999999984,4.015461740891624E-9
bio1_unc,-59.96479999999998,4.358409189109125E-9
bio1_unc,-59.014399999999995,4.729947544745983E-9
bio1_unc,-58.06399999999998,5.132397618012874E-9
bio1_unc,-57.11359999999999,5.568262739785723E-9
bio1_unc,-56.16319999999999,6.0402505219769864E-9
bio1_unc,-55.21279999999999,6.5512750779817E-9
bio1_unc,-54.262399999999985,7.104478338959552E-9
bio1_unc,-53.31199999999998,7.703255811009058E-9
bio1_unc,-52.36159999999998,8.351261904238072E-9
bio1_unc,-51.411199999999994,9.052434357670336E-9
bio1_unc,-50.46079999999998,9.811025769579373E-9
bio1_unc,-49.51039999999999,1.063161203518348E-8
bio1_unc,-48.559999999999974,1.1519120768355151E-8
bio1_unc,-47.609599999999986,1.2478870381471552E-8
bio1_unc,-46.6592,1.351658251991239E-8
bio1_unc,-45.70879999999998,1.4638413148304608E-8
bio1_unc,-44.758399999999995,1.58510076175844E-8
bio1_unc,-43.80799999999998,1.716150599406774E-8
bio1_unc,-42.85759999999999,1.8577592797441866E-8
bio1_unc,-41.90719999999999,2.0107552956005748E-8
bio1_unc,-40.95679999999999,2.1760289570238456E-8
bio1_unc,-40.006399999999985,2.354537365079068E-8
bio1_unc,-39.05599999999998,2.5473129383613013E-8
bio1_unc,-38.10559999999998,2.7554634129955957E-8
bio1_unc,-37.15519999999998,2.980180013878453E-8
bio1_unc,-36.20479999999998,3.2227465140977074E-8
bio1_unc,-35.25439999999999,3.4845395902038945E-8
bio1_unc,-34.303999999999974,3.7670393027156024E-8
bio1_unc,-33.353599999999986,4.071839754260509E-8
bio1_unc,-32.40319999999997,4.400650510660853E-8
bio1_unc,-31.452799999999982,4.7553069038031026E-8
bio1_unc,-30.502399999999994,5.1377860188495106E-8
bio1_unc,-29.55199999999998,5.550204917881274E-8
bio1_unc,-28.60159999999999,5.994841245637872E-8
bio1_unc,-27.651199999999974,6.474139269130319E-8
bio1_unc,-26.700799999999987,6.990721601596306E-8
bio1_unc,-25.750399999999985,7.547403413354914E-8
bio1_unc,-24.799999999999983,8.147208774289538E-8
bio1_unc,-23.84959999999998,8.793377048732509E-8
bio1_unc,-22.89919999999998,9.489387764460844E-8
bio1_unc,-21.948799999999977,1.0238972691922754E-7
bio1_unc,-20.99839999999999,1.1046130055092362E-7
bio1_unc,-20.047999999999973,1.1915150821550924E-7
bio1_unc,-19.097599999999986,1.2850635755512485E-7
bio1_unc,-18.147199999999984,1.385751460247775E-7
bio1_unc,-17.196799999999982,1.4941068116058887E-7
bio1_unc,-16.246399999999994,1.6106960742945375E-7
bio1_unc,-15.295999999999992,1.7361260518100607E-7
bio1_unc,-14.34559999999999,1.871046180212943E-7
bio1_unc,-13.395199999999988,2.016152649275682E-7
bio1_unc,-12.444799999999987,2.1721903920024488E-7
bio1_unc,-11.494399999999985,2.3399580584282376E-7
bio1_unc,-10.543999999999983,2.520309578812885E-7
bio1_unc,-9.59359999999998,2.714159279548767E-7
