Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.03043E-13,0.000000001,0,0.888955343,0,0
2.39658E-13,0.000000003,0.000000001,0.879585327,0,0
1.03541E-12,0.00000001,0.000000003,0.865929027,0,0
2.5746E-12,0.000000025,0.000000008,0.856957735,0,0
8.60399E-12,0.0000001,0.000000027,0.842603668,0,0
2.15328E-11,0.000000251,0.000000067,0.832535885,0,0
9.54498E-11,0.000001002,0.000000296,0.817185008,0,0
2.0747E-10,0.000002506,0.000000643,0.806917863,0,0
9.86101E-10,0.000010043,0.000003056,0.791666667,0,0
2.11629E-9,0.000025163,0.000006558,0.781499203,0,0
3.66462E-9,0.00005006,0.000011356,0.772826954,0,0
6.75139E-9,0.000100351,0.000020921,0.762858852,0,0
1.56425E-8,0.0002513,0.000048472,0.749202552,0,0
3.03613E-8,0.000500621,0.000094078,0.738337321,0,0
5.47936E-8,0.001003785,0.000169771,0.726176236,0,0
1.28491E-7,0.00251171,0.000398023,0.7090311,0,0
2.25797E-7,0.00502205,0.000699233,0.694677033,0,0
4.22762E-7,0.010027573,0.001308382,0.678827751,0,0
9.14224E-7,0.025090678,0.002825081,0.655103668,0,0
1.46516E-6,0.050028507,0.004519858,0.634170654,0,0
2.22039E-6,0.100149281,0.00683374,0.607755183,0,0
3.4204E-6,0.20010743,0.010488299,0.571969697,0,0
4.72226E-6,0.300182515,0.014422729,0.547448166,0,0
5.80434E-6,0.400013251,0.017669206,0.528409091,0,0
6.85026E-6,0.500294805,0.020786952,0.51265949,0,0
7.84096E-6,0.601140062,0.023721892,0.49900319,0,0
8.40723E-6,0.700312968,0.025391592,0.486842105,0,0
8.70629E-6,0.750783738,0.026271093,0.480960925,0,0
8.9899E-6,0.800256607,0.027103686,0.475378788,0,0
9.52929E-6,0.900224945,0.028683223,0.464613238,0,0
1.01004E-5,1.000078238,0.030350198,0.454445774,0,0
1.09205E-5,1.100554087,0.032733682,0.444876396,0,0
1.17794E-5,1.200283974,0.035217667,0.436104466,0,0
1.2749E-5,1.300770553,0.038006362,0.427930622,0,0
1.37217E-5,1.400165531,0.040787846,0.420454545,0,0
1.47043E-5,1.501255384,0.043581278,0.413377193,0,0
1.74644E-5,1.750027254,0.051341782,0.397826954,0,0
2.0637E-5,2.000151903,0.060107978,0.384669059,0,0
2.35432E-5,2.252108335,0.067996961,0.373305423,0,0
2.673E-5,2.502208983,0.076496844,0.363437002,0,0
2.94438E-5,2.751800165,0.083613904,0.354565391,0,0
3.26886E-5,3.002789634,0.091981064,0.346491228,0,0
3.53015E-5,3.250709856,0.098608374,0.339214514,0,0
3.81635E-5,3.500111772,0.10575721,0.332436204,0,0
4.14105E-5,3.750502684,0.113731814,0.3261563,0,0
