Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Background points,bio12_unc contribution,bio14_unc contribution,bio15_unc contribution,bio1_unc contribution,bio2_unc contribution,bio7_unc contribution,bio12_unc permutation importance,bio14_unc permutation importance,bio15_unc permutation importance,bio1_unc permutation importance,bio2_unc permutation importance,bio7_unc permutation importance,Training gain without bio12_unc,Training gain without bio14_unc,Training gain without bio15_unc,Training gain without bio1_unc,Training gain without bio2_unc,Training gain without bio7_unc,Training gain with only bio12_unc,Training gain with only bio14_unc,Training gain with only bio15_unc,Training gain with only bio1_unc,Training gain with only bio2_unc,Training gain with only bio7_unc,Entropy,Prevalence (average probability of presence over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 Logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 Logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 Logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Minimum training presence cumulative threshold,Minimum training presence Logistic threshold,Minimum training presence area,Minimum training presence training omission,10 percentile training presence cumulative threshold,10 percentile training presence Logistic threshold,10 percentile training presence area,10 percentile training presence training omission,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity Logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity Logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value Logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions Logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission
sp1_0,64,1.1963,1.5097,500,0.9212,10030,61.3907,1.1889,1.1996,31.7596,3.3145,1.1467,56.7652,2.7624,0.9600,34.1695,2.9320,2.4109,0.6612,1.1773,1.1859,1.0807,1.1942,1.1885,0.7618,0.0572,0.2724,0.3724,0.2581,0.2092,8.0301,0.1487,1.0000,0.0262,0.5230,0.0000,5.0000,0.1009,0.3156,0.0156,10.0000,0.2983,0.2467,0.0312,2.6959,0.0583,0.3986,0.0000,19.2159,0.3930,0.1950,0.0938,28.6215,0.4394,0.1547,0.1562,12.2315,0.3379,0.2320,0.0312,2.6959,0.0583,0.3986,0.0000,5.3556,0.1092,0.3063,0.0156
sp1_1,64,1.1614,1.5126,500,0.9210,10037,63.7258,0.5159,1.6984,30.4903,0.4761,3.0935,54.3682,2.1861,3.5648,35.0834,1.1762,3.6214,0.5183,1.1450,1.1451,1.0224,1.1568,1.1398,0.7573,0.0237,0.2188,0.3564,0.1678,0.1666,8.0605,0.1533,1.0000,0.0293,0.5391,0.0000,5.0000,0.1105,0.3506,0.0000,10.0000,0.2327,0.2666,0.0000,11.7192,0.2744,0.2507,0.0000,17.7297,0.3470,0.2091,0.0938,26.6384,0.4113,0.1631,0.1562,11.7192,0.2744,0.2507,0.0000,5.1058,0.1120,0.3480,0.0000,6.5905,0.1416,0.3154,0.0000
sp1_2,64,1.2184,1.5638,500,0.9188,10030,61.1609,1.7433,2.5451,31.6760,2.7729,0.1017,53.3419,4.0547,5.5757,35.2537,1.2467,0.5273,0.6575,1.1965,1.1965,1.1041,1.2101,1.2174,0.7804,0.0214,0.2765,0.3706,0.2186,0.1846,7.9962,0.1441,1.0000,0.0263,0.5182,0.0000,5.0000,0.0961,0.3110,0.0000,10.0000,0.2871,0.2453,0.0469,5.1729,0.1018,0.3063,0.0000,16.3243,0.3577,0.2064,0.0781,23.5756,0.4064,0.1719,0.1719,16.3243,0.3577,0.2064,0.0781,5.1729,0.1018,0.3063,0.0000,5.5934,0.1155,0.2960,0.0156
sp1_3,64,1.4254,1.9342,500,0.9404,10028,63.6581,3.8831,2.3822,22.5222,5.3210,2.2333,46.8355,4.0332,6.7806,37.3239,2.9870,2.0398,0.8064,1.3678,1.3977,1.2799,1.3710,1.4119,0.9087,0.0173,0.2396,0.3757,0.3112,0.1630,7.7948,0.1180,1.0000,0.0232,0.4735,0.0000,5.0000,0.0937,0.2902,0.0000,10.0000,0.2041,0.2133,0.0625,6.5724,0.1211,0.2583,0.0000,27.2125,0.4053,0.1255,0.0938,27.3535,0.4066,0.1250,0.1250,27.2125,0.4053,0.1255,0.0938,4.6764,0.0882,0.2981,0.0000,7.5789,0.1413,0.2420,0.0625
sp1_4,64,1.2339,1.7137,500,0.9238,10030,58.5171,4.6134,1.2370,33.5350,0.4525,1.6450,50.0464,5.7423,0.9268,40.0268,0.8653,2.3924,0.6670,1.1668,1.2186,1.0691,1.2336,1.2200,0.7073,0.0627,0.2471,0.4008,0.0957,0.1938,7.9816,0.1428,1.0000,0.0253,0.5812,0.0000,5.0000,0.0862,0.3471,0.0000,10.0000,0.2342,0.2551,0.0469,6.1841,0.1082,0.3146,0.0000,15.6976,0.3204,0.2132,0.0938,21.4577,0.3658,0.1811,0.1719,13.8052,0.3000,0.2254,0.0625,6.0333,0.1044,0.3182,0.0000,7.2581,0.1393,0.2917,0.0156
sp1_5,64,1.4011,1.8090,500,0.9397,10032,55.3078,1.8036,2.3509,22.5765,17.2089,0.7523,55.2702,2.1691,0.6307,32.8894,7.3532,1.6874,0.7933,1.3732,1.3945,1.2946,1.3773,1.3965,0.7921,0.1219,0.3274,0.3583,0.4784,0.2558,7.8128,0.1184,1.0000,0.0211,0.4966,0.0000,5.0000,0.0812,0.2801,0.0156,10.0000,0.2066,0.2004,0.0156,3.0332,0.0481,0.3531,0.0000,17.3734,0.3533,0.1533,0.0938,20.9825,0.3958,0.1387,0.1406,11.5105,0.2345,0.1870,0.0156,3.0332,0.0481,0.3531,0.0000,6.4801,0.1166,0.2463,0.0156
sp1_6,64,1.2330,1.5737,500,0.9253,10033,64.9885,0.3674,0.8037,27.5737,2.1497,4.1169,54.4295,0.8187,0.8184,32.4356,5.6294,5.8684,0.7098,1.2261,1.2266,1.1136,1.2123,1.2015,0.8290,0.0482,0.1502,0.3710,0.1622,0.2482,7.9811,0.1403,1.0000,0.0227,0.5839,0.0000,5.0000,0.0749,0.3199,0.0156,10.0000,0.2968,0.2272,0.0469,4.7632,0.0707,0.3287,0.0000,19.8416,0.3990,0.1759,0.0938,24.0727,0.4251,0.1584,0.1562,13.5588,0.3549,0.2059,0.0625,4.7632,0.0707,0.3287,0.0000,5.8775,0.0920,0.2915,0.0312
sp1_7,64,1.1982,1.5713,500,0.9293,10026,57.2829,0.7319,1.4673,34.6038,4.2910,1.6231,47.6712,1.9843,2.5244,35.4774,6.6923,5.6505,0.7398,1.1854,1.1808,1.0215,1.1732,1.1862,0.6924,0.0872,0.1922,0.3858,0.2614,0.1737,8.0149,0.1457,1.0000,0.0253,0.5472,0.0000,5.0000,0.0854,0.3106,0.0156,10.0000,0.2943,0.2351,0.0625,3.4999,0.0601,0.3708,0.0000,17.6144,0.3902,0.1930,0.0938,27.9216,0.4494,0.1505,0.1406,15.5924,0.3736,0.2029,0.0625,3.4999,0.0601,0.3708,0.0000,5.2886,0.0931,0.3017,0.0156
sp1_8,64,1.0158,1.2571,500,0.9014,10031,60.7679,2.2348,0.8370,35.2364,0.6248,0.2990,50.0773,7.4987,8.0325,28.7357,2.9260,2.7298,0.5119,0.9793,1.0061,0.9067,1.0131,1.0156,0.6290,0.0474,0.2027,0.3395,0.1242,0.1460,8.1983,0.1754,1.0000,0.0385,0.5785,0.0000,5.0000,0.1045,0.3817,0.0000,10.0000,0.2609,0.2764,0.0469,8.6284,0.1776,0.2949,0.0000,15.7319,0.4063,0.2389,0.0781,30.8397,0.4837,0.1719,0.1719,15.5256,0.4048,0.2401,0.0469,6.5864,0.1265,0.3376,0.0000,5.6574,0.1133,0.3623,0.0000
sp1_9,64,1.2269,1.5222,500,0.9143,10030,65.3784,0.3955,0.5223,31.5557,0.7607,1.3875,58.2924,2.6151,3.2153,34.1833,1.1458,0.5482,0.6380,1.2166,1.2238,1.1140,1.2287,1.2297,0.8544,0.0339,0.2376,0.3608,0.2249,0.1754,7.9982,0.1442,1.0000,0.0229,0.5267,0.0000,5.0000,0.1030,0.3176,0.0156,10.0000,0.2748,0.2474,0.0469,4.8579,0.0998,0.3213,0.0000,11.6919,0.3005,0.2349,0.0625,24.1165,0.3972,0.1678,0.1719,11.5045,0.2994,0.2362,0.0469,4.8579,0.0998,0.3213,0.0000,5.9060,0.1259,0.2966,0.0156
