Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
5.92595E-11,0.000000006,0.000000173,1,0,0
1.24012E-10,0.000000018,0.000000363,0.999900329,0,0
3.03009E-10,0.000000049,0.000000886,0.999800658,0,0
4.46998E-10,0.000000128,0.000001308,0.999601316,0,0
7.51319E-10,0.000000253,0.000002198,0.999401973,0,0
1.57352E-9,0.000001006,0.000004603,0.998803947,0,0
2.45553E-9,0.00000271,0.000007183,0.998006578,0,0
3.92432E-9,0.000010059,0.000011479,0.995913485,0,0
4.94967E-9,0.000025238,0.000014478,0.99262434,0,0
5.93458E-9,0.000050481,0.000017359,0.98803947,0,0
7.4282E-9,0.000100063,0.000021728,0.980564138,0,0
1.15653E-8,0.000250922,0.000033829,0.96421808,0,0
1.90366E-8,0.000501707,0.000055682,0.947174325,0,0
4.45071E-8,0.001002405,0.000130174,0.929133858,0,0
1.14888E-7,0.002503673,0.000335953,0.910694707,0,0
1.93961E-7,0.005003534,0.000567047,0.894049636,0,0
3.61878E-7,0.010034492,0.001057433,0.875710156,0,0
7.54851E-7,0.025013441,0.002203197,0.848400279,0,0
1.12585E-6,0.050074045,0.003282487,0.82188777,0,0
1.68949E-6,0.100151132,0.004917735,0.78600618,0,0
2.59059E-6,0.200137734,0.007520914,0.740057809,0,0
3.42888E-6,0.300097603,0.009930436,0.706568325,0,0
4.35527E-6,0.400159001,0.01257963,0.680554171,0,0
5.1296E-6,0.500059429,0.014783117,0.659623243,0,0
5.81841E-6,0.600293499,0.016734974,0.641383435,0,0
6.4491E-6,0.700419337,0.01851539,0.625137048,0,0
6.78412E-6,0.750656079,0.019458521,0.617562045,0,0
7.09132E-6,0.800642098,0.020321743,0.610385727,0,0
7.52963E-6,0.900573599,0.021550742,0.596730788,0,0
7.95449E-6,1.000589216,0.02273908,0.583873218,0,0
8.46089E-6,1.100651852,0.024151744,0.571713346,0,0
8.92309E-6,1.200692159,0.025437532,0.560251171,0,0
9.41009E-6,1.300448878,0.02678866,0.549387023,0,0
9.89978E-6,1.400876927,0.028143502,0.53902123,0,0
1.03678E-5,1.500211782,0.029434921,0.529253464,0,0
1.15213E-5,1.75070436,0.032602881,0.506428785,0,0
1.24254E-5,2.000830116,0.035071541,0.485597528,0,0
1.31784E-5,2.250325511,0.037118158,0.466161667,0,0
1.41221E-5,2.50008066,0.039670744,0.447921858,0,0
1.51084E-5,2.751032465,0.042323936,0.430778431,0,0
1.60445E-5,3.001376496,0.044828941,0.414731386,0,0
1.73213E-5,3.251464629,0.048224348,0.399780724,0,0
1.84766E-5,3.500725959,0.051275773,0.385926443,0,0
2.0017E-5,3.751311066,0.055314177,0.372969202,0,0
2.13974E-5,4.00143941,0.058904142,0.360909,0,0
2.29482E-5,4.252276243,0.062904561,0.349646168,0,0
2.43782E-5,4.50102045,0.066563617,0.339180704,0,0
2.59856E-5,4.750186084,0.070642453,0.329313266,0,0
2.76696E-5,5.002226438,0.074877545,0.319944184,0.015625,0
2.92393E-5,5.25241301,0.078790902,0.311173129,0.015625,0
3.12986E-5,5.500258439,0.083874562,0.3030001,0.03125,0
3.32523E-5,5.751895227,0.088646076,0.295225755,0.03125,0
3.61697E-5,6.001457919,0.095679298,0.288049437,0.03125,0
3.87903E-5,6.25246605,0.101905135,0.281371474,0.03125,0
4.12562E-5,6.502196116,0.107685475,0.275191867,0.03125,0
4.41409E-5,6.75440443,0.11435412,0.269311273,0.03125,0
4.8541E-5,7.004653963,0.124335884,0.263929034,0.03125,0
5.24896E-5,7.251371219,0.133103867,0.259045151,0.03125,0
5.84808E-5,7.505712953,0.146077106,0.254460281,0.03125,0
6.30732E-5,7.755784696,0.155761589,0.250373767,0.03125,0
6.92499E-5,8.00512943,0.168445771,0.246586265,0.046875,0
7.57657E-5,8.252673393,0.181419615,0.243197448,0.046875,0
8.37028E-5,8.507453752,0.196686773,0.240007974,0.046875,0
9.59904E-5,8.758685892,0.219230444,0.237217183,0.046875,0
1.10237E-4,9.007163985,0.24383458,0.234825077,0.046875,0
1.22116E-4,9.251637817,0.263193721,0.232731984,0.046875,0
1.34111E-4,9.511339529,0.281762009,0.230738563,0.046875,0
1.39895E-4,9.757746698,0.290385309,0.228944483,0.046875,0
1.44289E-4,10.013444879,0.296798718,0.227150404,0.046875,0
1.47556E-4,10.261861969,0.301493815,0.225455995,0.046875,0
1.51826E-4,10.501349569,0.307535546,0.223861258,0.046875,0
1.55748E-4,10.763614118,0.312992702,0.222166849,0.046875,0
1.57927E-4,11.01456112,0.315987757,0.220572112,0.0625,0
1.62476E-4,11.254743964,0.322158013,0.219077046,0.0625,0
1.65439E-4,11.500691576,0.326116223,0.217581979,0.0625,0
1.69119E-4,11.752232701,0.33097013,0.216086913,0.0625,0
1.72184E-4,12.008157971,0.334959006,0.214591847,0.0625,0
1.75383E-4,12.251005661,0.339072242,0.213196452,0.0625,0
1.78115E-4,12.515689667,0.342544408,0.211701385,0.0625,0
1.80183E-4,12.766894471,0.345148835,0.21030599,0.0625,0
1.8261E-4,13.002578756,0.348179378,0.209010266,0.0625,0
1.85269E-4,13.259800884,0.351467364,0.207614871,0.0625,0
1.8784E-4,13.50240868,0.354614812,0.206319147,0.0625,0
1.8975E-4,13.766772144,0.356933992,0.204923752,0.078125,0
1.92007E-4,14.014684944,0.359652713,0.203628028,0.078125,0
1.94375E-4,14.265840612,0.362480749,0.202332303,0.078125,0
1.96216E-4,14.500362074,0.364661727,0.20113625,0.078125,0
1.97866E-4,14.75629716,0.36660367,0.199840526,0.09375,0
1.99053E-4,15.014194211,0.36799322,0.198544802,0.09375,0
2.00876E-4,15.254119091,0.370116722,0.197348749,0.09375,0
2.02707E-4,15.516576822,0.372233891,0.196053025,0.09375,0
2.04668E-4,15.76106366,0.374487229,0.194856972,0.09375,0
2.0594E-4,16.007598169,0.375939413,0.193660919,0.09375,0
2.06963E-4,16.255311994,0.377102505,0.192464866,0.09375,0
2.08204E-4,16.504449517,0.378508253,0.191268813,0.09375,0
2.09908E-4,16.755430212,0.380426706,0.19007276,0.09375,0
2.11061E-4,17.008043321,0.381719046,0.188876707,0.09375,0
2.11929E-4,17.261918095,0.382688514,0.187680654,0.09375,0
2.13082E-4,17.517051593,0.383970742,0.186484601,0.09375,0
2.14266E-4,17.752113588,0.38528267,0.185388219,0.09375,0
2.1563E-4,18.010080416,0.386786757,0.184192166,0.09375,0
2.16953E-4,18.26976244,0.388238341,0.182996113,0.09375,0
2.17936E-4,18.509035004,0.389312313,0.181899731,0.09375,0
2.19802E-4,18.771791431,0.391341011,0.180703678,0.09375,0
2.2089E-4,19.014198528,0.392518414,0.179607296,0.09375,0
2.222E-4,19.258029897,0.393929448,0.178510914,0.09375,0
2.24205E-4,19.503277808,0.396075532,0.177414532,0.09375,0
2.26071E-4,19.750932651,0.398059659,0.17631815,0.09375,0
2.27965E-4,20.000978264,0.400060467,0.175221768,0.109375,0
2.29825E-4,20.252981764,0.402012822,0.174125386,0.109375,0
2.31626E-4,20.50678574,0.403890391,0.173029004,0.109375,0
2.32964E-4,20.76226985,0.405277543,0.171932622,0.109375,0
2.34847E-4,21.019828348,0.407219357,0.17083624,0.125,0
2.35585E-4,21.255101181,0.407977658,0.16983953,0.125,0
2.36574E-4,21.514878402,0.40898937,0.168743148,0.125,0
2.38733E-4,21.75254853,0.411187439,0.167746437,0.125,0
2.40374E-4,22.016247591,0.412846873,0.166650055,0.125,0
2.43408E-4,22.258670671,0.41589074,0.165653344,0.140625,0
2.4506E-4,22.503108431,0.417534323,0.164656633,0.140625,0
2.46139E-4,22.773261799,0.418603654,0.163560251,0.140625,0
2.4733E-4,23.020057102,0.419778691,0.16256354,0.15625,0
2.4933E-4,23.268662484,0.421741376,0.161566829,0.15625,0
2.50526E-4,23.518659912,0.422909439,0.160570119,0.15625,0
2.5159E-4,23.769925952,0.423944076,0.159573408,0.15625,0
2.52645E-4,24.022120392,0.42496619,0.158576697,0.15625,0
2.53493E-4,24.27513339,0.425785273,0.157579986,0.171875,0
2.54713E-4,24.503866275,0.426959824,0.156682946,0.171875,0
2.56475E-4,24.759206977,0.428646537,0.155686235,0.171875,0
2.58352E-4,25.016516926,0.4304333,0.154689525,0.171875,0
2.59847E-4,25.275695966,0.431848825,0.153692814,0.171875,0
2.62608E-4,25.511205556,0.434443706,0.152795774,0.1875,0
2.63871E-4,25.774359065,0.435622944,0.151799063,0.1875,0
2.65448E-4,26.01251013,0.437088477,0.150902023,0.1875,0
2.6703E-4,26.252128544,0.438551551,0.150004984,0.1875,0
2.68636E-4,26.519921795,0.440028643,0.149008273,0.203125,0
2.69779E-4,26.762296857,0.441074526,0.148111233,0.203125,0
2.71871E-4,27.006369077,0.442980078,0.147214193,0.203125,0
2.73119E-4,27.25179723,0.444110515,0.146317153,0.203125,0
2.75149E-4,27.525803397,0.445939588,0.145320443,0.203125,0
2.76045E-4,27.773923463,0.446742805,0.144423403,0.203125,0
2.77247E-4,28.023044747,0.447817127,0.143526363,0.203125,0
2.78809E-4,28.273266884,0.449206797,0.142629323,0.203125,0
2.80787E-4,28.525288067,0.45095622,0.141732283,0.203125,0
2.81765E-4,28.750336613,0.451816836,0.140934915,0.234375,0
2.83152E-4,29.004565546,0.453033365,0.140037875,0.234375,0
2.84257E-4,29.259976563,0.453999238,0.139140835,0.234375,0
2.86175E-4,29.516905141,0.45566674,0.138243795,0.234375,0
2.88133E-4,29.775373089,0.457357827,0.137346756,0.25,0
2.88858E-4,30.00623618,0.457981665,0.136549387,0.25,0
2.89649E-4,30.266566891,0.458660774,0.135652347,0.25,0
2.92224E-4,30.528615754,0.460858954,0.134755307,0.25,0
2.93204E-4,30.762764046,0.461691158,0.133957939,0.25,0
2.94584E-4,31.027350867,0.462858204,0.133060899,0.25,0
2.96374E-4,31.264000061,0.464364629,0.13226353,0.25,0
2.98104E-4,31.501992057,0.465812794,0.131466162,0.25,0
2.99552E-4,31.770984892,0.467018859,0.130569122,0.25,0
3.01365E-4,32.011506591,0.468520755,0.129771753,0.25,0
3.02165E-4,32.252956027,0.469181497,0.128974385,0.25,0
3.03876E-4,32.52560672,0.4705876,0.128077345,0.25,0
3.05284E-4,32.769312543,0.471739932,0.127279976,0.25,0
3.06894E-4,33.014303689,0.47305093,0.126482607,0.25,0
3.09213E-4,33.260932951,0.474927376,0.125685239,0.25,0
3.10897E-4,33.509166198,0.476282457,0.12488787,0.25,0
3.1202E-4,33.758328606,0.477181474,0.124090501,0.25,0
3.13696E-4,34.008686038,0.478518391,0.123293133,0.25,0
3.14742E-4,34.260158532,0.479348919,0.122495764,0.25,0
3.156E-4,34.512267556,0.48002848,0.121698395,0.25,0
3.17756E-4,34.765917691,0.481728072,0.120901027,0.25,0
3.19177E-4,35.020862821,0.482841981,0.120103658,0.25,0
3.20539E-4,35.276869533,0.483905366,0.119306289,0.25,0
3.20986E-4,35.501426555,0.484253671,0.118608592,0.25,0
3.21924E-4,35.758599439,0.484981911,0.117811223,0.25,0
3.23153E-4,36.016795362,0.485933924,0.117013854,0.25,0
3.24686E-4,36.276146261,0.48711607,0.116216486,0.25,0
3.25409E-4,36.503717774,0.487671999,0.115518788,0.25,0
3.2653E-4,36.764571811,0.488531352,0.114721419,0.25,0
3.27617E-4,37.026205687,0.489361862,0.113924051,0.25,0
3.28501E-4,37.255930563,0.490035137,0.113226353,0.25,0
3.30483E-4,37.519714411,0.491538778,0.112428984,0.25,0
3.32227E-4,37.75168599,0.49285368,0.111731287,0.25,0
3.33384E-4,38.017975939,0.493722872,0.110933918,0.25,0
3.35882E-4,38.252572327,0.49558865,0.11023622,0.25,0
3.3704E-4,38.521888802,0.496449059,0.109438852,0.25,0
3.38251E-4,38.758317928,0.497345824,0.108741154,0.25,0
3.40012E-4,39.029669774,0.49864383,0.107943786,0.25,0
3.4109E-4,39.268143878,0.499435096,0.107246088,0.25,0
3.42083E-4,39.50726786,0.500162114,0.10654839,0.25,0
3.43711E-4,39.781736771,0.501349361,0.105751022,0.25,0
3.4588E-4,40.023192182,0.502922032,0.105053324,0.265625,0
3.47063E-4,40.265774548,0.503775623,0.104355626,0.265625,0
3.4877E-4,40.509459896,0.505002004,0.103657929,0.265625,0
3.50353E-4,40.754171101,0.506133751,0.102960231,0.265625,0
3.51735E-4,41.000043218,0.507117699,0.102262534,0.3125,0
3.53792E-4,41.282401158,0.508575201,0.101465165,0.3125,0
3.55821E-4,41.531108763,0.510004716,0.100767467,0.3125,0
3.57492E-4,41.780790462,0.51117501,0.10006977,0.3125,0
3.59172E-4,42.031689978,0.512346334,0.099372072,0.3125,0
3.60727E-4,42.283770493,0.513425767,0.098674375,0.3125,0
3.6226E-4,42.500850231,0.514485657,0.098076348,0.3125,0
3.63471E-4,42.755032306,0.515319194,0.09737865,0.3125,0
3.64638E-4,43.010093273,0.516119758,0.096680953,0.3125,0
3.65819E-4,43.265906306,0.516927262,0.095983255,0.3125,0
3.67184E-4,43.522653906,0.517857051,0.095285558,0.3125,0
3.69625E-4,43.780688635,0.519511429,0.09458786,0.34375,0
3.70809E-4,44.002932908,0.520309246,0.093989834,0.34375,0
3.72168E-4,44.263094616,0.52122224,0.093292136,0.34375,0
3.73856E-4,44.524397943,0.522351854,0.092594438,0.34375,0
3.75069E-4,44.786649405,0.523159947,0.091896741,0.34375,0
3.78008E-4,45.013132759,0.525106801,0.091298714,0.34375,0
3.79491E-4,45.278209843,0.526082708,0.090601017,0.34375,0
3.81369E-4,45.506586537,0.527313784,0.09000299,0.34375,0
3.83321E-4,45.774280987,0.528585963,0.089305293,0.34375,0
3.85427E-4,46.005081809,0.529950661,0.088707266,0.34375,0
3.86447E-4,46.275203896,0.530609022,0.088009568,0.34375,0
3.87281E-4,46.507305909,0.531146294,0.087411542,0.34375,0
3.88817E-4,46.778995029,0.532131488,0.086713844,0.375,0
3.90531E-4,47.012755768,0.533226414,0.086115818,0.375,0
3.91987E-4,47.286523454,0.534152659,0.08541812,0.375,0
3.93326E-4,47.522268617,0.535001422,0.084820094,0.375,0
3.94365E-4,47.758614525,0.535657254,0.084222067,0.375,0
3.96504E-4,48.035782228,0.5370028,0.08352437,0.375,0
3.98304E-4,48.274310431,0.538128358,0.082926343,0.375,0
