Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.79226E-11,0.000000003,0.000000062,0.999700927,0,0
2.75775E-11,0.000000012,0.000000095,0.999302163,0,0
4.72753E-11,0.000000028,0.000000163,0.998903399,0,0
1.14874E-10,0.000000104,0.000000395,0.99790649,0,0
2.25476E-10,0.000000255,0.000000776,0.996809889,0,0
5.69302E-10,0.000001003,0.000001959,0.99481607,0,0
1.0765E-9,0.000002599,0.000003703,0.992822251,0,0
4.41377E-9,0.000010412,0.000015184,0.989831522,0,0
6.7195E-9,0.000025178,0.000023116,0.987239557,0,0
8.12032E-9,0.000050764,0.000027935,0.983850065,0,0
9.91945E-9,0.000100296,0.000034124,0.978367062,0,0
1.47841E-8,0.000250275,0.000050859,0.965806001,0,0
2.4244E-8,0.000502405,0.000083401,0.952746486,0,0
4.11326E-8,0.001000159,0.000141494,0.936995315,0,0
1.04769E-7,0.002509659,0.000360363,0.914265776,0,0
2.31988E-7,0.005017496,0.000797767,0.898514605,0,0
3.94686E-7,0.010023283,0.001356879,0.882264979,0,0
7.56796E-7,0.025050489,0.002600144,0.855747184,0,0
1.14293E-6,0.050079767,0.003924184,0.829628153,0,0
1.69537E-6,0.100011237,0.005815447,0.794736317,0,0
2.49587E-6,0.200191944,0.008549535,0.747283421,0,0
3.2996E-6,0.300306529,0.011287117,0.712491277,0,0
4.16974E-6,0.400119269,0.01424234,0.6857741,0,0
4.82736E-6,0.500149232,0.016469967,0.663742399,0,0
5.42355E-6,0.6000698,0.01848512,0.644302662,0,0
5.924E-6,0.700335455,0.02017349,0.626657362,0,0
6.16025E-6,0.750478752,0.020969519,0.618383013,0,0
6.34979E-6,0.800463608,0.021607679,0.610407736,0,0
6.82583E-6,0.900057573,0.02320866,0.595354401,0,0
7.29898E-6,1.000088372,0.024797324,0.581198285,0,0
7.78983E-6,1.100436489,0.026442682,0.567939388,0,0
8.45793E-6,1.200816459,0.028677751,0.555577709,0,0
9.11111E-6,1.300028255,0.030857938,0.544312631,0,0
9.82579E-6,1.400035696,0.03323778,0.533745389,0,0
1.05208E-5,1.500410506,0.035546573,0.523875984,0,0
1.252E-5,1.750655908,0.042157066,0.502243047,0,0
1.44468E-5,2.001384109,0.048485045,0.483700528,0,0
1.62809E-5,2.250450199,0.054469854,0.467550593,0,0
1.82198E-5,2.50121144,0.060755741,0.453095404,0,0
2.03044E-5,2.750088434,0.067467512,0.44013558,0,0
2.20617E-5,3.000182574,0.073088102,0.428372047,0,0
2.39283E-5,3.250194024,0.079021266,0.417505732,0,0
2.55779E-5,3.500901529,0.08423282,0.407436945,0,0
2.73142E-5,3.752353206,0.089686663,0.397966304,0.015625,0
2.86727E-5,4.001048685,0.093930919,0.389093809,0.015625,0
3.00967E-5,4.251080293,0.098358835,0.380620078,0.015625,0
3.14392E-5,4.50306995,0.102513363,0.372445419,0.015625,0
3.29441E-5,4.751422038,0.107147977,0.364769215,0.015625,0
